WORD TO SEARCH,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
fine,83000,3600,400
broad,67800,1500,700
disgracing,70800,4300,900
indicating,6000,1000,2100
basis,11700,800,600
inferior,54100,2000,1000
fervently,38700,1100,900
Oh,113200,18600,500
hesitate,80700,2600,800
coolly,85300,5800,700
chair,65100,2200,600
advice,82100,3000,500
journey,63200,2700,600
Stoke,19300,700,500
reasonably,58900,3000,1500
falling,104600,2800,400
gravel,73300,3100,600
flatter,86400,1800,300
EDW,42600,1200,700
retort,64900,2800,900
Christmas,83000,21300,700
Grosvenor,64800,2200,300
whatever,78800,1900,800
proprietary,4800,700,1200
captivate,23200,1000,1100
performing,5400,500,1000
aimed,66500,2500,600
apace,37100,1800,700
Rosings,85000,6000,400
suspected,87300,3700,1900
insufferably,78200,4800,1500
warmest,9200,700,1100
freedom,85200,4200,1500
miles,351100,9700,3100
agreeable,528400,9600,1100
stone,227900,2700,2000
develop,260600,2600,600
catch,77900,3800,600
ungracious,60700,2100,1000
refused,64000,2900,1100
Italian,72100,2400,500
improbable,61400,2700,1000
degenerate,65500,2100,500
expression,75000,2300,700
further,73900,2000,600
building,56500,2800,1000
packing,41500,1300,1200
m,76800,3300,900
object,79000,1700,600
conveying,49600,2500,1000
disappoint,60600,1400,900
Forsters,24300,1300,800
foul,33200,1600,700
earl,49600,1900,800
1998,87600,2600,400
admitting,71800,2600,500
rapturously,56200,3100,1000
blind,77300,1600,500
six,86000,3800,700
shoes,56800,2700,1200
borrowed,16500,800,900
hospitality,76300,1700,1000
encouraged,59700,2500,600
pointed,55200,1600,1100
effects,62700,2200,600
naturally,66400,3100,700
reluctance,7200,500,1300
trees,51100,3200,1200
voluntary,64600,3100,900
intelligible,61800,3400,900
quit,69300,3800,500
rather,80400,1600,500
kingdom,100800,2000,700
say,78100,2400,800
aged,1900,400,800
none,75000,2700,400
comprehension,41700,1500,900
rencontre,49400,1700,800
conciliatory,60100,2600,700
blaming,64000,2000,500
education,69300,2000,600
pyramids,27600,800,1100
supply,72900,2100,800
orderly,62900,3400,700
undoubted,44400,2600,900
bounty,67000,3300,600
interest,76900,3000,700
pressingly,61800,3100,1000
treating,68600,1700,1100
consigned,31400,800,600
shoot,15100,700,1000
rightly,31400,1900,900
repress,34700,1000,1600
Monday,85600,2800,400
staid,15900,500,1400
habit,72000,2000,600
references,5400,300,1000
relative,53800,1900,1000
curtseyed,51300,1600,700
discomposed,63900,1500,500
t,72600,1400,500
rival,28400,700,700
suspects,61100,2200,800
backward,8300,1400,600
commendations,63900,3200,700
says,79400,3200,400
usual,69000,2100,600
grief,36000,1100,900
gone,74900,3100,400
application,69400,2400,500
surveying,32100,1100,900
signal,69300,2600,900
actions,69100,3100,600
indulged,71600,1600,700
superior,75600,1900,500
extremely,77900,2600,400
infinite,13100,1200,900
enemies,61600,1900,500
quarrel,74300,2700,1200
occurrences,61000,1700,1000
dazzling,34800,1200,500
sick,87900,2900,700
supposing,61400,1600,800
family,76600,3900,400
defence,33400,1100,800
pleasure,76800,3100,900
pictured,64100,2600,1200
lovers,59500,2000,700
alter,68300,1700,300
obvious,46200,1700,800
Why,76300,3600,500
